repo_name,url,error_message
rk2900/DRSA,https://github.com/rk2900/DRSA,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/rk2900/DRSA repos/rk2900/DRSA  stderr: fatal: destination path repos/rk2900/DRSA already exists and is not an empty directory.'
PacktPublishing/Hands-On-Artificial-Intelligence-for-Banking,https://github.com/PacktPublishing/Hands-On-Artificial-Intelligence-for-Banking,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/PacktPublishing/Hands-On-Artificial-Intelligence-for-Banking repos/PacktPublishing/Hands-On-Artificial-Intelligence-for-Banking  stderr: Cloning into repos/PacktPublishing/Hands-On-Artificial-Intelligence-for-Banking...POST git-upload-pack (191 bytes)POST git-upload-pack (233 bytes)fatal: unable to open /Users/sdgire/PycharmProjects/pythonProject/repos/PacktPublishing/Hands-On-Artificial-Intelligence-for-Banking/.git/objects/pack/tmp_pack_Sj5rx9: No such file or directoryfatal: fetch-pack: invalid index-pack output'
PacktPublishing/Hands-On-Reactive-Programming-with-Python,https://github.com/PacktPublishing/Hands-On-Reactive-Programming-with-Python,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/PacktPublishing/Hands-On-Reactive-Programming-with-Python repos/PacktPublishing/Hands-On-Reactive-Programming-with-Python  stderr: Cloning into repos/PacktPublishing/Hands-On-Reactive-Programming-with-Python...POST git-upload-pack (191 bytes)POST git-upload-pack (283 bytes)fatal: unable to open /Users/sdgire/PycharmProjects/pythonProject/repos/PacktPublishing/Hands-On-Reactive-Programming-with-Python/.git/objects/pack/tmp_pack_zZx8F7: No such file or directoryfatal: fetch-pack: invalid index-pack output'
PacktPublishing/Deep-Learning-with-TensorFlow-Second-Edition,https://github.com/PacktPublishing/Deep-Learning-with-TensorFlow-Second-Edition,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/PacktPublishing/Deep-Learning-with-TensorFlow-Second-Edition repos/PacktPublishing/Deep-Learning-with-TensorFlow-Second-Edition  stderr: Cloning into repos/PacktPublishing/Deep-Learning-with-TensorFlow-Second-Edition...POST git-upload-pack (191 bytes)POST git-upload-pack (233 bytes)git-lfs filter-process: git-lfs: command not foundfatal: the remote end hung up unexpectedlywarning: Clone succeeded, but checkout failed.You can inspect what was checked out with git statusand retry with git restore --source=HEAD :/'
PacktPublishing/Deep-Learning-Quick-Reference,https://github.com/PacktPublishing/Deep-Learning-Quick-Reference,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/PacktPublishing/Deep-Learning-Quick-Reference repos/PacktPublishing/Deep-Learning-Quick-Reference  stderr: Cloning into repos/PacktPublishing/Deep-Learning-Quick-Reference...POST git-upload-pack (191 bytes)POST git-upload-pack (283 bytes)git-lfs filter-process: git-lfs: command not foundfatal: the remote end hung up unexpectedlywarning: Clone succeeded, but checkout failed.You can inspect what was checked out with git statusand retry with git restore --source=HEAD :/'
PacktPublishing/Python-Machine-Learning-Cookbook-Second-Edition,https://github.com/PacktPublishing/Python-Machine-Learning-Cookbook-Second-Edition,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/PacktPublishing/Python-Machine-Learning-Cookbook-Second-Edition repos/PacktPublishing/Python-Machine-Learning-Cookbook-Second-Edition  stderr: Cloning into repos/PacktPublishing/Python-Machine-Learning-Cookbook-Second-Edition...POST git-upload-pack (191 bytes)POST git-upload-pack (233 bytes)git-lfs filter-process: git-lfs: command not foundfatal: the remote end hung up unexpectedlywarning: Clone succeeded, but checkout failed.You can inspect what was checked out with git statusand retry with git restore --source=HEAD :/'
PacktPublishing/OpenCV-4-with-Python-Blueprints-Second-Edition,https://github.com/PacktPublishing/OpenCV-4-with-Python-Blueprints-Second-Edition,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/PacktPublishing/OpenCV-4-with-Python-Blueprints-Second-Edition repos/PacktPublishing/OpenCV-4-with-Python-Blueprints-Second-Edition  stderr: Cloning into repos/PacktPublishing/OpenCV-4-with-Python-Blueprints-Second-Edition...POST git-upload-pack (191 bytes)POST git-upload-pack (233 bytes)git-lfs filter-process: git-lfs: command not foundfatal: the remote end hung up unexpectedlywarning: Clone succeeded, but checkout failed.You can inspect what was checked out with git statusand retry with git restore --source=HEAD :/'
PacktPublishing/Hands-On-Deep-Learning-for-Games,https://github.com/PacktPublishing/Hands-On-Deep-Learning-for-Games,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/PacktPublishing/Hands-On-Deep-Learning-for-Games repos/PacktPublishing/Hands-On-Deep-Learning-for-Games  stderr: Cloning into repos/PacktPublishing/Hands-On-Deep-Learning-for-Games...POST git-upload-pack (191 bytes)POST git-upload-pack (233 bytes)fatal: unable to open /Users/sdgire/PycharmProjects/pythonProject/repos/PacktPublishing/Hands-On-Deep-Learning-for-Games/.git/objects/pack/tmp_pack_ehBS3r: No such file or directoryfatal: fetch-pack: invalid index-pack output'
matthewkennedy5/Poker,https://github.com/matthewkennedy5/Poker,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/matthewkennedy5/Poker repos/matthewkennedy5/Poker  stderr: fatal: destination path repos/matthewkennedy5/Poker already exists and is not an empty directory.'
Chang-Chia-Chi/SaintPlus-Knowledge-Tracing-Pytorch,https://github.com/Chang-Chia-Chi/SaintPlus-Knowledge-Tracing-Pytorch,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/Chang-Chia-Chi/SaintPlus-Knowledge-Tracing-Pytorch repos/Chang-Chia-Chi/SaintPlus-Knowledge-Tracing-Pytorch  stderr: fatal: destination path repos/Chang-Chia-Chi/SaintPlus-Knowledge-Tracing-Pytorch already exists and is not an empty directory.'
